0 0.00  4.74 0.00  4.24 0.00  3.80 0.00  3.50 0.00  3.26 0.00  3.26 0.00  3.05 0.00  3.05 0.00  2.98 0.00  2.94 0.00  2.91 0.00  2.90 0.00  2.89 0.00  2.88 0.00  2.88 0.00  2.87 0.00  2.87 0.00  2.86 0.00  2.86 0.00  2.86
1 0.01  6.91 0.00  6.41 0.00  5.91 0.00  5.41 0.00  4.91 0.00  4.48 0.00  4.14 0.00  4.09 0.00  3.89 0.00  3.59 0.00  3.42 0.00  3.31 0.00  3.21 0.00  3.18 0.00  3.15 0.00  3.11 0.00  3.09 0.00  3.07 0.00  3.06 0.00  3.03
2 0.15  8.71 0.00  8.21 0.00  7.71 0.00  7.21 0.00  6.71 0.00  6.24 0.00  5.82 0.00  5.42 0.00  5.06 0.00  4.37 0.00  4.13 0.00  3.89 0.00  3.70 0.00  3.56 0.00  3.44 0.00  3.39 0.00  3.35 0.00  3.32 0.00  3.26 0.00  3.23
3 0.44 10.47 0.00  9.97 0.00  9.47 0.00  8.97 0.00  8.47 0.00  7.97 0.00  7.47 0.00  6.97 0.00  6.47 0.00  5.57 0.00  5.25 0.00  4.59 0.00  4.35 0.00  4.06 0.00  3.89 0.00  3.77 0.00  3.65 0.00  3.56 0.00  3.51 0.00  3.47
4 0.82 12.23 0.32 11.73 0.00 11.23 0.00 10.73 0.00 10.23 0.00  9.73 0.00  9.23 0.00  8.73 0.00  8.23 0.00  7.30 0.00  6.47 0.00  5.73 0.00  5.04 0.00  4.79 0.00  4.39 0.00  4.17 0.00  4.02 0.00  3.91 0.00  3.82 0.00  3.74
5 1.28 13.75 0.78 13.25 0.28 12.75 0.00 12.25 0.00 11.75 0.00 11.25 0.00 10.75 0.00 10.25 0.00  9.75 0.00  8.75 0.00  7.81 0.00  6.97 0.00  6.21 0.00  5.50 0.00  5.17 0.00  4.67 0.00  4.42 0.00  4.24 0.00  4.11 0.00  4.01
6 1.79 15.27 1.29 14.77 0.79 14.27 0.29 13.77 0.00 13.27 0.00 12.77 0.00 12.27 0.00 11.77 0.00 11.27 0.00 10.27 0.00  9.27 0.00  8.32 0.00  7.47 0.00  6.68 0.00  5.96 0.00  5.46 0.00  5.05 0.00  4.83 0.00  4.63 0.00  4.44
7 2.33 16.77 1.83 16.27 1.33 15.77 0.83 15.27 0.33 14.77 0.00 14.27 0.00 13.77 0.00 13.27 0.00 12.77 0.00 11.77 0.00 10.77 0.00  9.77 0.00  8.82 0.00  7.95 0.00  7.16 0.00  6.42 0.00  5.73 0.00  5.48 0.00  5.12 0.00  4.82
8 2.91 18.27 2.41 17.77 1.91 17.27 1.41 16.77 0.91 16.27 0.41 15.77 0.00 15.27 0.00 14.77 0.00 14.27 0.00 13.27 0.00 12.27 0.00 11.27 0.00 10.27 0.00  9.31 0.00  8.44 0.00  7.63 0.00  6.88 0.00  6.18 0.00  5.83 0.00  5.29
9 3.31 19.46 3.00 18.96 2.51 18.46 2.01 17.96 1.51 17.46 1.01 16.96 0.51 16.46 0.01 15.96 0.00 15.46 0.00 14.46 0.00 13.46 0.00 12.46 0.00 11.46 0.00 10.46 0.00  9.46 0.00  8.50 0.00  7.69 0.00  7.34 0.00  6.62 0.00  5.95
10 3.68 20.83 3.37 20.33 3.07 19.83 2.63 19.33 2.13 18.83 1.63 18.33 1.13 17.83 0.63 17.33 0.13 16.83 0.00 15.83 0.00 14.83 0.00 13.83 0.00 12.83 0.00 11.83 0.00 10.83 0.00  9.87 0.00  8.98 0.00  8.16 0.00  7.39 0.00  7.07
11 4.05 22.31 3.73 21.81 3.43 21.31 3.14 20.81 2.77 20.31 2.27 19.81 1.77 19.31 1.27 18.81 0.77 18.31 0.00 17.31 0.00 16.31 0.00 15.31 0.00 14.31 0.00 13.31 0.00 12.31 0.00 11.31 0.00 10.35 0.00  9.46 0.00  8.63 0.00  7.84
12 4.41 23.80 4.10 23.30 3.80 22.80 3.50 22.30 3.22 21.80 2.93 21.30 2.43 20.80 1.93 20.30 1.43 19.80 0.43 18.80 0.00 17.80 0.00 16.80 0.00 15.80 0.00 14.80 0.00 13.80 0.00 12.80 0.00 11.80 0.00 10.83 0.00  9.94 0.00  9.09
13 5.83 24.92 5.33 24.42 4.83 23.92 4.33 23.42 3.83 22.92 3.33 22.42 3.02 21.92 2.60 21.42 2.10 20.92 1.10 19.92 0.10 18.92 0.00 17.92 0.00 16.92 0.00 15.92 0.00 14.92 0.00 13.92 0.00 12.92 0.00 11.92 0.00 10.92 0.00  9.98
14 6.31 26.33 5.81 25.83 5.31 25.33 4.86 24.83 4.46 24.33 4.10 23.83 3.67 23.33 3.17 22.83 2.78 22.33 1.78 21.33 0.78 20.33 0.00 19.33 0.00 18.33 0.00 17.33 0.00 16.33 0.00 15.33 0.00 14.33 0.00 13.33 0.00 12.33 0.00 11.36
15 6.70 27.81 6.20 27.31 5.70 26.81 5.24 26.31 4.84 25.81 4.48 25.31 4.14 24.81 3.82 24.31 3.42 23.81 2.48 22.81 1.48 21.81 0.48 20.81 0.00 19.81 0.00 18.81 0.00 17.81 0.00 16.81 0.00 15.81 0.00 14.81 0.00 13.81 0.00 12.81
